err, nie poprawny duplikat::: Paweł; Nowak1; 459; 2000-02-12; 1@pjwstk.edu.pl; Alina; Adam; Informatyka magisterskie 4 sem; Dzienne
err, nie poprawny duplikat::: Paweł; Nowak1; 459; 2000-02-12; 1@pjwstk.edu.pl; Alina; Adam; Informatyka doktoranckie; Dzienne
err, nie poprawny duplikat::: Justyna; Kowalski30; 4749; 2000-02-12; 30@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Michał; Nowak31; 4432; 2000-02-12; 31@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Joanna; Brzęczyszczykiewicz37; 4799; 2000-02-12; 37@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Irena; Maciejewski38; 4626; 2000-02-12; 38@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów zaoczne; Zaoczne
err, nie poprawny duplikat::: Kacper; Kowalski40; 4396; 2000-02-12; 40@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Paweł; Nowak41; 4902; 2000-02-12; 41@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów zaoczne; Zaoczne
err, brakujace pola::: Aleksandra; ; 4434; 2000-02-12; 42@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów dzienne; Dzienne
err, nie poprawny duplikat::: Aleksandra; Brzęczyszczykiewicz42; 4434; 2000-02-12; 42@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów zaoczne 6 sem.; Zaoczne
err, nie poprawny duplikat::: Jan; Nowak46; 4842; 2000-02-12; 46@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów zaoczne 6 sem.; Zaoczne
err, nie poprawny duplikat::: Jakub; Jankowski49; 4789; 2000-02-12; 49@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów zaoczne; Zaoczne
err, nie poprawny duplikat::: Sabina; Brzęczyszczykiewicz52; 4513; 2000-02-12; 52@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Jan; Nowak56; 4649; 2000-02-12; 56@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Jakub; Brzęczyszczykiewicz57; 4755; 2000-02-12; 57@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Karolina; Jankowski64; 4423; 2000-02-12; 64@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Magdalena; Nowak66; 4629; 2000-02-12; 66@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Paweł; Jankowski69; 4478; 2000-02-12; 69@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Kamil; Nowak71; 4741; 2000-02-12; 71@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Sandra; Brzęczyszczykiewicz77; 4800; 2000-02-12; 77@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Małgorzata; Maciejewski78; 4429; 2000-02-12; 78@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Klaudia; Jankowski84; 4849; 2000-02-12; 84@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Tomasz; Kowalski95; 3374; 2000-02-12; 95@pjwstk.edu.pl; Alina; Adam; Sztuka Nowych Mediów dzienne; Dzienne
err, brakujace pola::: Jolanta; Nowak96; 4756; 2000-02-12; 96@pjwstk.edu.pl; ; ; Sztuka Nowych Mediów uzupełniające magisterskie; Dzienne
err, nie poprawny duplikat::: Paweł; Brzęczyszczykiewicz252; 4412; 2000-02-12; 252@pjwstk.edu.pl; Alina; Adam; Informatyka magisterskie 3 sem; Dzienne
err, nie poprawny duplikat::: Kamil; Jankowski254; 4836; 2000-02-12; 254@pjwstk.edu.pl; Alina; Adam; Informatyka zaoczne; Zaoczne
err, nie poprawny duplikat::: Michał; Brzęczyszczykiewicz257; 4454; 2000-02-12; 257@pjwstk.edu.pl; Alina; Adam; Informatyka magisterskie 3 sem; Dzienne
err, nie poprawny duplikat::: Patryk; Maciejewski258; 4443; 2000-02-12; 258@pjwstk.edu.pl; Alina; Adam; Informatyka dzienne po angielsku; Dzienne
err, nie poprawny duplikat::: Michał; Kowalski260; 4579; 2000-02-12; 260@pjwstk.edu.pl; Alina; Adam; Informatyka zaoczne; Zaoczne
err, nie poprawny duplikat::: Zuzanna; Jankowski264; 4413; 2000-02-12; 264@pjwstk.edu.pl; Alina; Adam; Informatyka dzienne po angielsku; Dzienne
